100
1	6	198 275 572 774 904 998 
2	7	468 494 521 554 814 864 871 
3	2	602 833 
4	8	88 275 345 676 708 725 770 886 
5	6	156 170 215 531 741 932 
6	11	7 247 359 443 566 587 596 716 808 871 952 
7	8	36 372 546 612 797 821 871 947 
8	5	115 117 227 779 812 
9	9	39 184 230 413 417 779 830 855 995 
10	7	4 338 349 562 774 829 869 
11	6	37 433 473 708 768 795 
12	6	236 323 575 586 704 768 
13	12	7 260 330 372 400 433 525 569 623 625 649 772 
14	2	61 282 
15	2	548 903 
16	6	190 228 364 396 802 940 
17	6	438 502 962 965 971 986 
18	3	70 443 954 
19	4	7 109 491 800 
20	4	20 71 215 593 
21	3	193 668 860 
22	6	189 248 478 683 801 815 
23	8	278 304 398 528 638 719 829 974 
24	6	64 315 596 757 807 938 
25	4	290 294 367 700 
26	4	42 432 447 522 
27	4	64 222 312 962 
28	5	403 417 438 712 730 
29	9	145 361 421 510 568 657 810 833 967 
30	8	301 456 473 522 559 671 710 926 
31	4	288 487 853 895 
32	5	12 249 821 860 902 
33	2	683 951 
34	3	153 466 974 
35	8	124 411 593 600 602 730 880 910 
36	7	153 173 195 576 757 765 833 
37	7	9 49 77 141 173 614 909 
38	5	49 472 473 492 872 
39	13	49 139 170 223 361 424 512 547 641 670 765 829 931 
40	5	73 168 209 472 585 
41	10	37 62 292 299 319 329 426 482 592 600 
42	7	190 307 405 657 722 807 841 
43	6	230 339 602 861 904 916 
44	6	241 443 596 620 625 885 
45	8	63 69 120 378 473 648 663 900 
46	4	70 96 700 964 
47	1	518 
48	4	304 405 528 625 
49	4	37 422 940 997 
50	8	360 433 518 684 711 791 835 909 
51	4	443 480 814 849 
52	7	32 141 184 464 572 596 611 
53	4	101 336 701 915 
54	7	439 483 540 596 722 893 940 
55	4	282 674 798 909 
56	2	140 593 
57	4	155 161 364 560 
58	4	149 401 652 915 
59	10	125 210 227 239 522 632 782 796 823 889 
60	7	151 189 196 290 755 890 951 
61	6	39 72 193 488 503 697 
62	3	147 278 447 
63	3	102 520 670 
64	9	177 214 222 401 405 544 671 809 974 
65	4	88 282 833 993 
66	2	401 741 
67	3	101 582 783 
68	3	78 223 989 
69	5	248 405 566 880 881 
70	8	88 275 293 326 626 841 891 999 
71	3	86 829 995 
72	7	288 404 487 677 721 853 895 
73	9	222 332 554 674 689 823 904 918 994 
74	5	544 724 739 915 963 
75	9	84 110 305 372 648 708 905 962 992 
76	4	396 661 864 884 
77	8	13 68 83 97 372 433 466 494 
78	10	9 69 223 319 327 400 417 462 685 812 
79	4	421 433 457 833 
80	6	301 483 649 768 772 951 
81	5	230 451 558 704 945 
82	9	4 35 415 424 662 675 722 841 864 
83	10	15 51 128 479 663 691 716 717 809 987 
84	9	143 433 510 572 596 602 620 807 835 
85	7	48 214 215 331 496 782 836 
86	8	15 62 326 547 736 875 893 918 
87	2	193 653 
88	8	9 48 218 388 566 800 827 861 
89	3	417 602 834 
90	8	114 121 125 217 260 456 464 608 
91	5	262 372 454 643 680 
92	4	351 495 560 657 
93	3	124 700 943 
94	5	149 375 433 648 892 
95	4	22 23 815 982 
96	7	39 69 417 502 614 784 798 
97	12	41 90 108 190 290 338 448 488 602 760 765 871 
98	8	15 282 375 554 602 648 809 827 
99	5	124 290 816 851 935 
100	5	97 193 290 466 871 
